requirement,summary,phase,owner,status,implementation,tests,platforms
FR-DATA-01,兼容并迁移现有 `providers.json`、`sessions.json`、`settings.json`、最近项目、权限、MCP、附件、上下文、执行日志和编辑备份。,Phase 2 and Phase 9,codez-storage,planned,codez-storage implementation in Phase 2 and Phase 9; Electron remains the behavioral baseline until replacement evidence is linked.,src/tests/agent-runner-ledger-authoritative.test.ts;src/tests/attachment-preview-bytes.test.ts;src/tests/attachment-service.test.ts;src/tests/file-context-restorer.test.ts;src/tests/large-tool-result-store.test.ts;src/tests/legacy-session-migration.test.ts;src/tests/mcp-secret-expressions.test.ts;src/tests/mcp-secret-store.test.ts,windows-x64; macos; linux
FR-DATA-02,每类持久化数据必须有显式 `schemaVersion` 或等价迁移版本，不再依赖隐式结构猜测。,Phase 2 and Phase 9,codez-storage,planned,codez-storage implementation in Phase 2 and Phase 9; Electron remains the behavioral baseline until replacement evidence is linked.,src/tests/agent-runner-ledger-authoritative.test.ts;src/tests/attachment-preview-bytes.test.ts;src/tests/attachment-service.test.ts;src/tests/file-context-restorer.test.ts;src/tests/large-tool-result-store.test.ts;src/tests/legacy-session-migration.test.ts;src/tests/mcp-secret-expressions.test.ts;src/tests/mcp-secret-store.test.ts,windows-x64; macos; linux
FR-DATA-03,写入必须采用临时文件、刷新和原子替换策略；并发写入必须串行化或事务化。,Phase 2 and Phase 9,codez-storage,planned,codez-storage implementation in Phase 2 and Phase 9; Electron remains the behavioral baseline until replacement evidence is linked.,src/tests/agent-runner-ledger-authoritative.test.ts;src/tests/attachment-preview-bytes.test.ts;src/tests/attachment-service.test.ts;src/tests/file-context-restorer.test.ts;src/tests/large-tool-result-store.test.ts;src/tests/legacy-session-migration.test.ts;src/tests/mcp-secret-expressions.test.ts;src/tests/mcp-secret-store.test.ts,windows-x64; macos; linux
FR-DATA-04,首次迁移必须先建立清单和备份，迁移应幂等；失败时不得损坏旧数据。,Phase 2 and Phase 9,codez-storage,planned,codez-storage implementation in Phase 2 and Phase 9; Electron remains the behavioral baseline until replacement evidence is linked.,src/tests/agent-runner-ledger-authoritative.test.ts;src/tests/attachment-preview-bytes.test.ts;src/tests/attachment-service.test.ts;src/tests/file-context-restorer.test.ts;src/tests/large-tool-result-store.test.ts;src/tests/legacy-session-migration.test.ts;src/tests/mcp-secret-expressions.test.ts;src/tests/mcp-secret-store.test.ts,windows-x64; macos; linux
FR-DATA-05,Provider API Key、MCP 密钥与 OAuth 凭据不得因迁移降级为明文或 Base64 存储。,Phase 2 and Phase 9,codez-storage,planned,codez-storage implementation in Phase 2 and Phase 9; Electron remains the behavioral baseline until replacement evidence is linked.,src/tests/agent-runner-ledger-authoritative.test.ts;src/tests/attachment-preview-bytes.test.ts;src/tests/attachment-service.test.ts;src/tests/file-context-restorer.test.ts;src/tests/large-tool-result-store.test.ts;src/tests/legacy-session-migration.test.ts;src/tests/mcp-secret-expressions.test.ts;src/tests/mcp-secret-store.test.ts,windows-x64; macos; linux
FR-DATA-06,无法解密旧 `safeStorage` 数据时，应用必须明确标记需重新录入，不得静默丢失或伪造成功。,Phase 2 and Phase 9,codez-storage,planned,codez-storage implementation in Phase 2 and Phase 9; Electron remains the behavioral baseline until replacement evidence is linked.,src/tests/agent-runner-ledger-authoritative.test.ts;src/tests/attachment-preview-bytes.test.ts;src/tests/attachment-service.test.ts;src/tests/file-context-restorer.test.ts;src/tests/large-tool-result-store.test.ts;src/tests/legacy-session-migration.test.ts;src/tests/mcp-secret-expressions.test.ts;src/tests/mcp-secret-store.test.ts,windows-x64; macos; linux
FR-PROVIDER-01,保留 Provider/模型 CRUD、激活 Provider、连接测试、思考参数和上下文/输出上限。,Phase 4 and Phase 8,codez-providers,planned,codez-providers implementation in Phase 4 and Phase 8; Electron remains the behavioral baseline until replacement evidence is linked.,src/tests/chat-provider-usage.test.ts;src/tests/chat-retry.test.ts;src/tests/image-capabilities.test.ts;src/tests/image-composer-state.test.ts;src/tests/image-message-state.test.ts;src/tests/image-preview-csp.test.ts;src/tests/image-provider-payload.test.ts;src/tests/image-session-lifecycle.test.ts,all-desktop
FR-PROVIDER-02,保留 OpenAI Chat Completions、Anthropic Messages、Gemini 流式协议的消息、工具、图片、Usage 和错误归一化行为。,Phase 4 and Phase 8,codez-providers,planned,codez-providers implementation in Phase 4 and Phase 8; Electron remains the behavioral baseline until replacement evidence is linked.,src/tests/chat-provider-usage.test.ts;src/tests/chat-retry.test.ts;src/tests/image-capabilities.test.ts;src/tests/image-composer-state.test.ts;src/tests/image-message-state.test.ts;src/tests/image-preview-csp.test.ts;src/tests/image-provider-payload.test.ts;src/tests/image-session-lifecycle.test.ts,all-desktop
FR-PROVIDER-03,HTTP 客户端必须支持取消、连接/读取超时、流式背压、代理/证书错误提示和敏感字段脱敏。,Phase 4 and Phase 8,codez-providers,planned,codez-providers implementation in Phase 4 and Phase 8; Electron remains the behavioral baseline until replacement evidence is linked.,src/tests/chat-provider-usage.test.ts;src/tests/chat-retry.test.ts;src/tests/image-capabilities.test.ts;src/tests/image-composer-state.test.ts;src/tests/image-message-state.test.ts;src/tests/image-preview-csp.test.ts;src/tests/image-provider-payload.test.ts;src/tests/image-session-lifecycle.test.ts,all-desktop
FR-PROVIDER-04,重试仅适用于可安全重试的请求；不得重复执行已经开始产生副作用的工具调用。,Phase 4 and Phase 8,codez-providers,planned,codez-providers implementation in Phase 4 and Phase 8; Electron remains the behavioral baseline until replacement evidence is linked.,src/tests/chat-provider-usage.test.ts;src/tests/chat-retry.test.ts;src/tests/image-capabilities.test.ts;src/tests/image-composer-state.test.ts;src/tests/image-message-state.test.ts;src/tests/image-preview-csp.test.ts;src/tests/image-provider-payload.test.ts;src/tests/image-session-lifecycle.test.ts,all-desktop
FR-CHAT-01,保留聊天增量、推理增量、结束原因、Usage、错误、停止和 steer 输入。,"Phase 4, Phase 6 and Phase 8",codez-runtime,planned,"codez-runtime implementation in Phase 4, Phase 6 and Phase 8; Electron remains the behavioral baseline until replacement evidence is linked.",src/tests/chat-compaction-timeline.test.ts;src/tests/chat-message-terminal-status.test.ts;src/tests/chat-performance.test.ts;src/tests/chat-provider-usage.test.ts;src/tests/chat-retry.test.ts;src/tests/chat-runtime-ipc.test.ts;src/tests/chat-runtime-registry-steer.test.ts;src/tests/chat-runtime-registry.test.ts,all-desktop
FR-CHAT-02,保留 canonical ledger、上下文预算、压缩、文件/Skill 恢复、断点恢复与崩溃恢复。,"Phase 4, Phase 6 and Phase 8",codez-runtime,planned,"codez-runtime implementation in Phase 4, Phase 6 and Phase 8; Electron remains the behavioral baseline until replacement evidence is linked.",src/tests/chat-compaction-timeline.test.ts;src/tests/chat-message-terminal-status.test.ts;src/tests/chat-performance.test.ts;src/tests/chat-provider-usage.test.ts;src/tests/chat-retry.test.ts;src/tests/chat-runtime-ipc.test.ts;src/tests/chat-runtime-registry-steer.test.ts;src/tests/chat-runtime-registry.test.ts,all-desktop
FR-CHAT-03,每个流必须使用稳定 `streamId`；事件必须带序号或满足可证明的有序单通道语义，终止后不得继续更新 UI。,"Phase 4, Phase 6 and Phase 8",codez-runtime,planned,"codez-runtime implementation in Phase 4, Phase 6 and Phase 8; Electron remains the behavioral baseline until replacement evidence is linked.",src/tests/chat-compaction-timeline.test.ts;src/tests/chat-message-terminal-status.test.ts;src/tests/chat-performance.test.ts;src/tests/chat-provider-usage.test.ts;src/tests/chat-retry.test.ts;src/tests/chat-runtime-ipc.test.ts;src/tests/chat-runtime-registry-steer.test.ts;src/tests/chat-runtime-registry.test.ts,all-desktop
FR-CHAT-04,会话删除、软删除保留期、任务/Agent 运行时状态和历史回退行为保持兼容。,"Phase 4, Phase 6 and Phase 8",codez-runtime,planned,"codez-runtime implementation in Phase 4, Phase 6 and Phase 8; Electron remains the behavioral baseline until replacement evidence is linked.",src/tests/chat-compaction-timeline.test.ts;src/tests/chat-message-terminal-status.test.ts;src/tests/chat-performance.test.ts;src/tests/chat-provider-usage.test.ts;src/tests/chat-retry.test.ts;src/tests/chat-runtime-ipc.test.ts;src/tests/chat-runtime-registry-steer.test.ts;src/tests/chat-runtime-registry.test.ts,all-desktop
FR-CHAT-05,应用重启后不得把已完成任务错误恢复为运行中，也不得把未完成副作用自动重放。,"Phase 4, Phase 6 and Phase 8",codez-runtime,planned,"codez-runtime implementation in Phase 4, Phase 6 and Phase 8; Electron remains the behavioral baseline until replacement evidence is linked.",src/tests/chat-compaction-timeline.test.ts;src/tests/chat-message-terminal-status.test.ts;src/tests/chat-performance.test.ts;src/tests/chat-provider-usage.test.ts;src/tests/chat-retry.test.ts;src/tests/chat-runtime-ipc.test.ts;src/tests/chat-runtime-registry-steer.test.ts;src/tests/chat-runtime-registry.test.ts,all-desktop
FR-TOOL-01,保留工具注册、Schema 验证、延迟暴露、调用组装、调度、Hook、执行日志和大结果裁剪/存储。,Phase 3 and Phase 5,codez-runtime,planned,codez-runtime implementation in Phase 3 and Phase 5; Electron remains the behavioral baseline until replacement evidence is linked.,src/tests/agent-collaboration-tools.test.ts;src/tests/agent-runner-tool-result.test.ts;src/tests/ask-user-question-tool.test.ts;src/tests/bash-tool.test.ts;src/tests/edit-approval-acceptance.test.ts;src/tests/edit-diff-utils.test.ts;src/tests/edit-tool.test.ts;src/tests/edit-transaction-service.test.ts,windows-x64; macos; linux
FR-TOOL-02,保留 Read/List/Glob/Grep、Write/Edit/Notebook、Shell、Web、Task、Agent、MCP、通知和回滚等现有工具行为。,Phase 3 and Phase 5,codez-runtime,planned,codez-runtime implementation in Phase 3 and Phase 5; Electron remains the behavioral baseline until replacement evidence is linked.,src/tests/agent-collaboration-tools.test.ts;src/tests/agent-runner-tool-result.test.ts;src/tests/ask-user-question-tool.test.ts;src/tests/bash-tool.test.ts;src/tests/edit-approval-acceptance.test.ts;src/tests/edit-diff-utils.test.ts;src/tests/edit-tool.test.ts;src/tests/edit-transaction-service.test.ts,windows-x64; macos; linux
FR-TOOL-03,所有副作用工具必须在执行前完成参数验证、影响规划和授权；执行器只能接收去除运行时控制字段后的业务参数。,Phase 3 and Phase 5,codez-runtime,planned,codez-runtime implementation in Phase 3 and Phase 5; Electron remains the behavioral baseline until replacement evidence is linked.,src/tests/agent-collaboration-tools.test.ts;src/tests/agent-runner-tool-result.test.ts;src/tests/ask-user-question-tool.test.ts;src/tests/bash-tool.test.ts;src/tests/edit-approval-acceptance.test.ts;src/tests/edit-diff-utils.test.ts;src/tests/edit-tool.test.ts;src/tests/edit-transaction-service.test.ts,windows-x64; macos; linux
FR-TOOL-04,编辑事务必须保留指纹校验、备份、逐文件接受/拒绝、冲突检测和安全回滚。,Phase 3 and Phase 5,codez-runtime,planned,codez-runtime implementation in Phase 3 and Phase 5; Electron remains the behavioral baseline until replacement evidence is linked.,src/tests/agent-collaboration-tools.test.ts;src/tests/agent-runner-tool-result.test.ts;src/tests/ask-user-question-tool.test.ts;src/tests/bash-tool.test.ts;src/tests/edit-approval-acceptance.test.ts;src/tests/edit-diff-utils.test.ts;src/tests/edit-tool.test.ts;src/tests/edit-transaction-service.test.ts,windows-x64; macos; linux
FR-TOOL-05,进程执行必须支持 stdout/stderr 增量、输出上限、超时、取消、进程树终止和退出状态归一化。,Phase 3 and Phase 5,codez-runtime,planned,codez-runtime implementation in Phase 3 and Phase 5; Electron remains the behavioral baseline until replacement evidence is linked.,src/tests/agent-collaboration-tools.test.ts;src/tests/agent-runner-tool-result.test.ts;src/tests/ask-user-question-tool.test.ts;src/tests/bash-tool.test.ts;src/tests/edit-approval-acceptance.test.ts;src/tests/edit-diff-utils.test.ts;src/tests/edit-tool.test.ts;src/tests/edit-transaction-service.test.ts,windows-x64; macos; linux
FR-TOOL-06,工具并发必须服从资源键与调度规则，不能并发修改同一资源或绕过权限。,Phase 3 and Phase 5,codez-runtime,planned,codez-runtime implementation in Phase 3 and Phase 5; Electron remains the behavioral baseline until replacement evidence is linked.,src/tests/agent-collaboration-tools.test.ts;src/tests/agent-runner-tool-result.test.ts;src/tests/ask-user-question-tool.test.ts;src/tests/bash-tool.test.ts;src/tests/edit-approval-acceptance.test.ts;src/tests/edit-diff-utils.test.ts;src/tests/edit-tool.test.ts;src/tests/edit-transaction-service.test.ts,windows-x64; macos; linux
FR-PERM-01,保留 `auto | full-access` 工作区模式和现有模型审批偏好决策矩阵。,Phase 5,codez-runtime,planned,codez-runtime implementation in Phase 5; Electron remains the behavioral baseline until replacement evidence is linked.,src/tests/permission-approval-options.test.ts;src/tests/permission-approval-viewport.test.ts;src/tests/permission-audit-log.test.ts;src/tests/permission-command-corpus.test.ts;src/tests/permission-contracts.test.ts;src/tests/permission-critical-guard.test.ts;src/tests/permission-decision-engine.test.ts;src/tests/permission-manager.test.ts,windows-x64; macos; linux
FR-PERM-02,绝对红线、显式拒绝和工作区边界不得被模型输出、MCP 注解、Hook 或持久化 allow 规则绕过。,Phase 5,codez-runtime,planned,codez-runtime implementation in Phase 5; Electron remains the behavioral baseline until replacement evidence is linked.,src/tests/permission-approval-options.test.ts;src/tests/permission-approval-viewport.test.ts;src/tests/permission-audit-log.test.ts;src/tests/permission-command-corpus.test.ts;src/tests/permission-contracts.test.ts;src/tests/permission-critical-guard.test.ts;src/tests/permission-decision-engine.test.ts;src/tests/permission-manager.test.ts,windows-x64; macos; linux
FR-PERM-03,Bash、PowerShell 与嵌套命令分析必须保持命令分类、路径影响、动态执行降级和解析失败默认安全。,Phase 5,codez-runtime,planned,codez-runtime implementation in Phase 5; Electron remains the behavioral baseline until replacement evidence is linked.,src/tests/permission-approval-options.test.ts;src/tests/permission-approval-viewport.test.ts;src/tests/permission-audit-log.test.ts;src/tests/permission-command-corpus.test.ts;src/tests/permission-contracts.test.ts;src/tests/permission-critical-guard.test.ts;src/tests/permission-decision-engine.test.ts;src/tests/permission-manager.test.ts,windows-x64; macos; linux
FR-PERM-04,审批请求应支持 once/session/project 等既有允许范围，并记录审批来源和审计日志。,Phase 5,codez-runtime,planned,codez-runtime implementation in Phase 5; Electron remains the behavioral baseline until replacement evidence is linked.,src/tests/permission-approval-options.test.ts;src/tests/permission-approval-viewport.test.ts;src/tests/permission-audit-log.test.ts;src/tests/permission-command-corpus.test.ts;src/tests/permission-contracts.test.ts;src/tests/permission-critical-guard.test.ts;src/tests/permission-decision-engine.test.ts;src/tests/permission-manager.test.ts,windows-x64; macos; linux
FR-PERM-05,授权后、执行前必须对输入快照或关键资源再次校验，防止审批与执行之间被替换。,Phase 5,codez-runtime,planned,codez-runtime implementation in Phase 5; Electron remains the behavioral baseline until replacement evidence is linked.,src/tests/permission-approval-options.test.ts;src/tests/permission-approval-viewport.test.ts;src/tests/permission-audit-log.test.ts;src/tests/permission-command-corpus.test.ts;src/tests/permission-contracts.test.ts;src/tests/permission-critical-guard.test.ts;src/tests/permission-decision-engine.test.ts;src/tests/permission-manager.test.ts,windows-x64; macos; linux
FR-AGENT-01,保留主 Agent 状态机、无固定轮次上限但有停滞保护的执行语义。,Phase 6 and Phase 8,codez-runtime,planned,codez-runtime implementation in Phase 6 and Phase 8; Electron remains the behavioral baseline until replacement evidence is linked.,src/tests/agent-collaboration-runtime.test.ts;src/tests/agent-collaboration-tools.test.ts;src/tests/agent-response-wait-warning.test.ts;src/tests/agent-runner-ledger-authoritative.test.ts;src/tests/agent-runner-plan-mode.test.ts;src/tests/agent-runner-tool-result.test.ts;src/tests/agent-runner-transition.test.ts;src/tests/delegate-tasks-helper.test.ts,all-desktop
FR-AGENT-02,保留子 Agent 生命周期、父子关系、消息邮箱、等待、恢复、终止传播和结果协议。,Phase 6 and Phase 8,codez-runtime,planned,codez-runtime implementation in Phase 6 and Phase 8; Electron remains the behavioral baseline until replacement evidence is linked.,src/tests/agent-collaboration-runtime.test.ts;src/tests/agent-collaboration-tools.test.ts;src/tests/agent-response-wait-warning.test.ts;src/tests/agent-runner-ledger-authoritative.test.ts;src/tests/agent-runner-plan-mode.test.ts;src/tests/agent-runner-tool-result.test.ts;src/tests/agent-runner-transition.test.ts;src/tests/delegate-tasks-helper.test.ts,all-desktop
FR-AGENT-03,保留并行 wave、执行器控制、worktree 隔离、接管、重试与产物状态。,Phase 6 and Phase 8,codez-runtime,planned,codez-runtime implementation in Phase 6 and Phase 8; Electron remains the behavioral baseline until replacement evidence is linked.,src/tests/agent-collaboration-runtime.test.ts;src/tests/agent-collaboration-tools.test.ts;src/tests/agent-response-wait-warning.test.ts;src/tests/agent-runner-ledger-authoritative.test.ts;src/tests/agent-runner-plan-mode.test.ts;src/tests/agent-runner-tool-result.test.ts;src/tests/agent-runner-transition.test.ts;src/tests/delegate-tasks-helper.test.ts,all-desktop
FR-AGENT-04,Task、Plan 和 resume state 必须与 Agent 执行状态一致，重启后可恢复且不产生幽灵运行状态。,Phase 6 and Phase 8,codez-runtime,planned,codez-runtime implementation in Phase 6 and Phase 8; Electron remains the behavioral baseline until replacement evidence is linked.,src/tests/agent-collaboration-runtime.test.ts;src/tests/agent-collaboration-tools.test.ts;src/tests/agent-response-wait-warning.test.ts;src/tests/agent-runner-ledger-authoritative.test.ts;src/tests/agent-runner-plan-mode.test.ts;src/tests/agent-runner-tool-result.test.ts;src/tests/agent-runner-transition.test.ts;src/tests/delegate-tasks-helper.test.ts,all-desktop
FR-AGENT-05,所有运行任务必须归属于可取消作用域；父任务取消应按既定策略传播到子任务和子进程。,Phase 6 and Phase 8,codez-runtime,planned,codez-runtime implementation in Phase 6 and Phase 8; Electron remains the behavioral baseline until replacement evidence is linked.,src/tests/agent-collaboration-runtime.test.ts;src/tests/agent-collaboration-tools.test.ts;src/tests/agent-response-wait-warning.test.ts;src/tests/agent-runner-ledger-authoritative.test.ts;src/tests/agent-runner-plan-mode.test.ts;src/tests/agent-runner-tool-result.test.ts;src/tests/agent-runner-transition.test.ts;src/tests/delegate-tasks-helper.test.ts,all-desktop
FR-MCP-01,保留 stdio、Streamable HTTP 与 SSE 配置、发现、调用、重连和状态通知。,Phase 7 and Phase 8,codez-mcp,planned,codez-mcp implementation in Phase 7 and Phase 8; Electron remains the behavioral baseline until replacement evidence is linked.,src/tests/mcp-config-service.test.ts;src/tests/mcp-connection-manager.test.ts;src/tests/mcp-content-normalization.test.ts;src/tests/mcp-discovery.test.ts;src/tests/mcp-instruction-registry.test.ts;src/tests/mcp-network-transports.test.ts;src/tests/mcp-normalization.test.ts;src/tests/mcp-oauth-http.test.ts,windows-x64; macos; linux
FR-MCP-02,保留 Tool、Resource、Prompt、日志、资源订阅及受策略控制的反向 Sampling/Elicitation。,Phase 7 and Phase 8,codez-mcp,planned,codez-mcp implementation in Phase 7 and Phase 8; Electron remains the behavioral baseline until replacement evidence is linked.,src/tests/mcp-config-service.test.ts;src/tests/mcp-connection-manager.test.ts;src/tests/mcp-content-normalization.test.ts;src/tests/mcp-discovery.test.ts;src/tests/mcp-instruction-registry.test.ts;src/tests/mcp-network-transports.test.ts;src/tests/mcp-normalization.test.ts;src/tests/mcp-oauth-http.test.ts,windows-x64; macos; linux
FR-MCP-03,保留用户/项目/本地/动态/托管配置优先级、项目指纹信任和敏感表达式解析。,Phase 7 and Phase 8,codez-mcp,planned,codez-mcp implementation in Phase 7 and Phase 8; Electron remains the behavioral baseline until replacement evidence is linked.,src/tests/mcp-config-service.test.ts;src/tests/mcp-connection-manager.test.ts;src/tests/mcp-content-normalization.test.ts;src/tests/mcp-discovery.test.ts;src/tests/mcp-instruction-registry.test.ts;src/tests/mcp-network-transports.test.ts;src/tests/mcp-normalization.test.ts;src/tests/mcp-oauth-http.test.ts,windows-x64; macos; linux
FR-MCP-04,保留 OAuth 授权、登出、过期恢复和安全回调；Token 必须存入系统安全存储。,Phase 7 and Phase 8,codez-mcp,planned,codez-mcp implementation in Phase 7 and Phase 8; Electron remains the behavioral baseline until replacement evidence is linked.,src/tests/mcp-config-service.test.ts;src/tests/mcp-connection-manager.test.ts;src/tests/mcp-content-normalization.test.ts;src/tests/mcp-discovery.test.ts;src/tests/mcp-instruction-registry.test.ts;src/tests/mcp-network-transports.test.ts;src/tests/mcp-normalization.test.ts;src/tests/mcp-oauth-http.test.ts,windows-x64; macos; linux
FR-MCP-05,MCP 子进程必须有握手超时、stderr 上限、进程树回收和退出原因记录。,Phase 7 and Phase 8,codez-mcp,planned,codez-mcp implementation in Phase 7 and Phase 8; Electron remains the behavioral baseline until replacement evidence is linked.,src/tests/mcp-config-service.test.ts;src/tests/mcp-connection-manager.test.ts;src/tests/mcp-content-normalization.test.ts;src/tests/mcp-discovery.test.ts;src/tests/mcp-instruction-registry.test.ts;src/tests/mcp-network-transports.test.ts;src/tests/mcp-normalization.test.ts;src/tests/mcp-oauth-http.test.ts,windows-x64; macos; linux
FR-TERM-01,PTY 支持启动、输入、尺寸调整、输出、退出和关闭；中文与 UTF-8 输出不能回退到 ANSI 默认编码。,"Phase 3, Phase 7 and Phase 8",codez-platform,planned,"codez-platform implementation in Phase 3, Phase 7 and Phase 8; Electron remains the behavioral baseline until replacement evidence is linked.",src/tests/attachment-preview-bytes.test.ts;src/tests/attachment-service.test.ts;src/tests/bash-tool.test.ts;src/tests/compaction-skill-recovery.test.ts;src/tests/memory-service.test.ts;src/tests/powershell-tool.test.ts;src/tests/rules-resolver.test.ts;src/tests/session-skill-lifecycle.test.ts,windows-x64; macos; linux
FR-TERM-02,Skills、Rules、Memory、系统通知、附件导入/预览/清理保持可用。,"Phase 3, Phase 7 and Phase 8",codez-platform,planned,"codez-platform implementation in Phase 3, Phase 7 and Phase 8; Electron remains the behavioral baseline until replacement evidence is linked.",src/tests/attachment-preview-bytes.test.ts;src/tests/attachment-service.test.ts;src/tests/bash-tool.test.ts;src/tests/compaction-skill-recovery.test.ts;src/tests/memory-service.test.ts;src/tests/powershell-tool.test.ts;src/tests/rules-resolver.test.ts;src/tests/session-skill-lifecycle.test.ts,windows-x64; macos; linux
FR-TERM-03,内置 Skills、解析器或搜索二进制等随包资源必须能在开发与安装环境中可靠定位。,"Phase 3, Phase 7 and Phase 8",codez-platform,planned,"codez-platform implementation in Phase 3, Phase 7 and Phase 8; Electron remains the behavioral baseline until replacement evidence is linked.",src/tests/attachment-preview-bytes.test.ts;src/tests/attachment-service.test.ts;src/tests/bash-tool.test.ts;src/tests/compaction-skill-recovery.test.ts;src/tests/memory-service.test.ts;src/tests/powershell-tool.test.ts;src/tests/rules-resolver.test.ts;src/tests/session-skill-lifecycle.test.ts,windows-x64; macos; linux
FR-MIG-01,从迁移开始到迁移完成门禁通过，Electron 源码、preload、构建配置、依赖、有效测试和稳定安装包必须保留，不得因某个模块已移植而提前删除。,Phase 0 through Phase 10,migration,in-progress,migration implementation in Phase 0 through Phase 10; Electron remains the behavioral baseline until replacement evidence is linked.,src/tests/legacy-session-migration.test.ts;src/tests/legacy-tool-adapter.test.ts;src/tests/legacy-tool-execution-pipeline.test.ts;src/tests/provider-service-migration.test.ts;src/tests/settings-subagent-model-migration.test.ts;src/tests/smoke.test.ts,windows-x64; macos; linux
